Date,Open,High,Low,Close,Volume,actual_returns,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2023-03-07,404.4200134277344,404.6700134277344,397.6300048828125,398.2699890136719,108310600,-0.015328731891906533,401.18499755859375,392.6649002075195,401.6521548635049,399.7368100360468,399.3161072188705,399.9839194779671,406.61694561993636,-1.0
2023-03-08,398.3900146484375,399.7099914550781,396.5899963378906,398.9200134277344,74746600,0.0016321199989792756,401.4625015258789,393.08850036621095,401.3485835924343,399.7047471530462,398.97784865812594,399.5005314193249,406.5396001368393,1.0
2023-03-09,399.739990234375,401.4800109863281,390.5299987792969,391.55999755859375,111945300,-0.01844985365837981,398.3050003051758,393.34440032958986,400.26096292064005,399.3850420586766,396.1094440571431,395.61770096639236,406.3796928311572,-1.0
2023-03-10,390.989990234375,393.1600036621094,384.3200073242188,385.9100036621094,189253000,-0.01442944614289643,393.66500091552734,393.6272003173828,398.6664118901322,398.8561273226227,392.0576894498378,390.43475781969147,406.07083497224033,-1.0
2023-03-13,381.80999755859375,390.3900146484375,380.6499938964844,385.3599853515625,157790000,-0.001425250201672501,390.4375,393.81260009765623,397.1879200510445,398.32640318332056,389.0206524778564,386.99017374848063,405.6037054179627,-1.0
2023-03-14,390.5,393.4500122070313,387.0499877929688,391.7300109863281,149752400,0.016530065073970368,388.63999938964844,394.0186001586914,396.58148570998486,398.0675034071828,389.2237313592521,388.10060430116664,405.0120388078101,1.0
2023-03-15,385.8900146484375,389.489990234375,383.7099914550781,389.2799987792969,172996900,-0.006254338800497861,388.0699996948242,394.22640014648437,395.770209383716,397.722616714408,388.5719486338972,387.8150570165089,404.3381191300757,-1.0
2023-03-16,386.8200073242188,396.4700012207031,386.2900085449219,396.1099853515625,143254200,0.01754517723408111,390.6199951171875,394.5333999633789,395.8079622690587,397.65932713629024,390.6419248615016,391.1300236656031,403.6079956808208,1.0
2023-03-17,393.2200012207031,394.3999938964844,388.5499877929688,389.989990234375,140553400,-0.015450241961852518,391.7774963378906,394.6903997802734,395.1615209314707,397.3583443325907,389.98223382458343,390.374264149823,402.8536747120045,-1.0
2023-03-20,390.7999877929688,394.1700134277344,390.0700073242188,393.739990234375,93055800,0.009615631410812231,392.27999114990234,394.8390997314453,395.00357307615076,397.2163463349133,390.91034181734744,391.78989576094455,402.10370551215277,1.0
2023-03-21,397.239990234375,399.4100036621094,395.5799865722656,398.9100036621094,91524200,0.013130526631691453,394.68749237060547,394.97899963378904,395.43762091924776,397.2828100306815,393.4787217033819,395.26862125000514,401.36382887098523,1.0
2023-03-22,398.7300109863281,402.489990234375,392.0700073242188,392.1099853515625,111746600,-0.017046497325513887,393.68749237060547,395.079899597168,395.0678836337883,397.0798198796589,392.8917295169961,394.1673003212078,400.62376695797764,-1.0
2023-03-23,395.0899963378906,399.2900085449219,390.3500061035156,393.1700134277344,119351300,0.0027033947508923184,394.4824981689453,395.21179962158203,394.8570091663673,396.92639662456924,392.8663948585138,393.94757521572717,399.89663715127074,1.0
2023-03-24,391.8399963378906,395.8399963378906,389.3999938964844,395.75,107682400,0.006562012575101583,394.98500061035156,395.2790997314453,394.9562303701384,396.880235235162,393.79112058586963,395.0478407544666,399.2128097157419,1.0
2023-03-27,398.1199951171875,398.9200134277344,395.55999755859375,396.489990234375,74010400,0.0018698426642451693,394.37999725341797,395.3818997192383,395.12664813288353,396.864922525632,394.72769671231754,396.0855315516065,398.6024082325123,1.0
2023-03-28,395.7699890136719,396.489990234375,393.6900024414063,395.6000061035156,62871700,-0.002244657249312332,395.25250244140625,395.4926998901367,395.17924346296803,396.8152899824519,395.0772028870171,396.26803140174786,398.03006235758465,-1.0
2023-03-29,399.9299926757813,401.6000061035156,398.6799926757813,401.3500061035156,77497900,0.014534883496678752,397.29750061035156,395.7575,395.86488375652795,396.9932183512699,397.3917989674848,399.1361032064756,397.4663584202896,1.0
